recipe_id,uuid,name,local_image,image_url
3927,3dc8ca99-af08-5c43-93e5-b4d2d2044459,Baked Eggs with Tomato Sauce,food_dataset_v2\recipe_images\3927_baked_eggs_with_tomato_sauce.jpg,cloudflare_url/recipe_images/3dc8ca99-af08-5c43-93e5-b4d2d2044459.jpg
4248,ab65b6b9-2cd9-592a-af83-b258bef07b4b,Baked Stuffed Calamari,food_dataset_v2\recipe_images\4248_baked_stuffed_calamari.jpg,cloudflare_url/recipe_images/ab65b6b9-2cd9-592a-af83-b258bef07b4b.jpg
3712,72489bc7-c235-5c3e-bd71-f6b171be614a,Baked Stuffed Sardines,food_dataset_v2\recipe_images\3712_baked_stuffed_sardines.jpg,cloudflare_url/recipe_images/72489bc7-c235-5c3e-bd71-f6b171be614a.jpg
3852,0beaac2f-efdc-5f15-83d4-c62cd242384f,Baked Stuffed Tomatoes,food_dataset_v2\recipe_images\3852_baked_stuffed_tomatoes.jpg,cloudflare_url/recipe_images/0beaac2f-efdc-5f15-83d4-c62cd242384f.jpg
8618,f19b09f7-adca-5979-ad32-8fa83824eded,Atsuage No Nimono,food_dataset_v2\recipe_images\8618_atsuage_no_nimono.jpg,cloudflare_url/recipe_images/f19b09f7-adca-5979-ad32-8fa83824eded.jpg
8778,6cca32f8-94ba-576b-ab44-bab59795cfb4,Atsuage Steak,food_dataset_v2\recipe_images\8778_atsuage_steak.jpg,cloudflare_url/recipe_images/6cca32f8-94ba-576b-ab44-bab59795cfb4.jpg
9213,3b3dc7f1-9cc7-534a-aa07-d92974b30789,Autumn Sanma Rice,food_dataset_v2\recipe_images\9213_autumn_sanma_rice.jpg,cloudflare_url/recipe_images/3b3dc7f1-9cc7-534a-aa07-d92974b30789.jpg
8507,b3c75fe3-f8cf-52fc-ba21-c5b912500194,Ayu No Shioyake,food_dataset_v2\recipe_images\8507_ayu_no_shioyake.jpg,cloudflare_url/recipe_images/b3c75fe3-f8cf-52fc-ba21-c5b912500194.jpg
8290,41e7dca1-8c00-5d15-b9ce-98fa2d3740be,Azuki Gayu,food_dataset_v2\recipe_images\8290_azuki_gayu.jpg,cloudflare_url/recipe_images/41e7dca1-8c00-5d15-b9ce-98fa2d3740be.jpg
8941,63e4528e-46b6-59ad-a9f5-a8436c98f99a,Azuki Ice Cream,food_dataset_v2\recipe_images\8941_azuki_ice_cream.jpg,cloudflare_url/recipe_images/63e4528e-46b6-59ad-a9f5-a8436c98f99a.jpg
8981,dc281826-dd91-5c63-95f5-f6bc27c23417,Azuki Toast,food_dataset_v2\recipe_images\8981_azuki_toast.jpg,cloudflare_url/recipe_images/dc281826-dd91-5c63-95f5-f6bc27c23417.jpg
9024,904ec98b-9b14-5e8c-a59a-a5bdde73dd25,Baby Castella,food_dataset_v2\recipe_images\9024_baby_castella.jpg,cloudflare_url/recipe_images/904ec98b-9b14-5e8c-a59a-a5bdde73dd25.jpg
8815,5745f790-ef96-5d25-af96-2ba5ab84479b,Bacon and Shimeji Mushroom Pasta,food_dataset_v2\recipe_images\8815_bacon_and_shimeji_mushroom_pasta.jpg,cloudflare_url/recipe_images/5745f790-ef96-5d25-af96-2ba5ab84479b.jpg
8849,265c5f90-8672-5f72-8aed-66c4769e0c16,Baked Cheese Curry,food_dataset_v2\recipe_images\8849_baked_cheese_curry.jpg,cloudflare_url/recipe_images/265c5f90-8672-5f72-8aed-66c4769e0c16.jpg
4675,a3af46bb-05ba-5bb1-8363-79c1aee6a6b9,Asado De Cerdo,food_dataset_v2\recipe_images\4675_asado_de_cerdo.jpg,cloudflare_url/recipe_images/a3af46bb-05ba-5bb1-8363-79c1aee6a6b9.jpg
4651,89463879-5892-572e-9358-120324f74993,Asado De Puerco Y Res,food_dataset_v2\recipe_images\4651_asado_de_puerco_y_res.jpg,cloudflare_url/recipe_images/89463879-5892-572e-9358-120324f74993.jpg
5027,ffe281bd-7e4f-5641-bafb-b38c9e0806a7,Ate Con Queso,food_dataset_v2\recipe_images\5027_ate_con_queso.jpg,cloudflare_url/recipe_images/ffe281bd-7e4f-5641-bafb-b38c9e0806a7.jpg
5028,11ae021b-1566-5880-be2b-328a4e6b8191,Ate De Membrillo,food_dataset_v2\recipe_images\5028_ate_de_membrillo.jpg,cloudflare_url/recipe_images/11ae021b-1566-5880-be2b-328a4e6b8191.jpg
5035,8fcf54e2-b72c-51ab-8338-113a0a5c4daa,Ate De Tejocote,food_dataset_v2\recipe_images\5035_ate_de_tejocote.jpg,cloudflare_url/recipe_images/8fcf54e2-b72c-51ab-8338-113a0a5c4daa.jpg
5038,9320618d-67f3-5ddd-8bb8-e38487077f1f,Ates Surtidos,food_dataset_v2\recipe_images\5038_ates_surtidos.jpg,cloudflare_url/recipe_images/9320618d-67f3-5ddd-8bb8-e38487077f1f.jpg
4914,8a84a7a1-1863-5d3c-a995-977954d2df1c,Atole,food_dataset_v2\recipe_images\4914_atole.jpg,cloudflare_url/recipe_images/8a84a7a1-1863-5d3c-a995-977954d2df1c.jpg
4918,55ad7cca-92f4-59c3-8ec8-34bd5ab1dca9,Atole De Fresa,food_dataset_v2\recipe_images\4918_atole_de_fresa.jpg,cloudflare_url/recipe_images/55ad7cca-92f4-59c3-8ec8-34bd5ab1dca9.jpg
4917,02209613-4222-5ba6-b5c6-7cca9f7748dc,Atole De Mazorca,food_dataset_v2\recipe_images\4917_atole_de_mazorca.jpg,cloudflare_url/recipe_images/02209613-4222-5ba6-b5c6-7cca9f7748dc.jpg
5244,38de9a33-6598-5482-8a7a-9d4a7b898f0c,Atole for Dia De La Candelaria,food_dataset_v2\recipe_images\5244_atole_for_dia_de_la_candelaria.jpg,cloudflare_url/recipe_images/38de9a33-6598-5482-8a7a-9d4a7b898f0c.jpg
10073,0608cbfc-4f81-5bb1-a5d7-4a45554f0ca1,Bean and Rice,food_dataset_v2\recipe_images\10073_bean_and_rice.jpg,cloudflare_url/recipe_images/0608cbfc-4f81-5bb1-a5d7-4a45554f0ca1.jpg
